file name,predicted cardio (%)
mcardiotest01mixWBC_1.pat.gz,0.32
mcardiotest01mixWBC_2.pat.gz,0.266
mcardiotest01mixWBC_3.pat.gz,0.32
mcardiotest05mixWBC_1.pat.gz,0.69200003
mcardiotest05mixWBC_2.pat.gz,0.47800002
mcardiotest05mixWBC_3.pat.gz,0.53400004
mcardiotest10mixWBC_1.pat.gz,6.26
mcardiotest10mixWBC_2.pat.gz,6.724
mcardiotest10mixWBC_3.pat.gz,6.4259996
mcardiotest15mixWBC_1.pat.gz,10.242001
mcardiotest15mixWBC_2.pat.gz,10.012
mcardiotest15mixWBC_3.pat.gz,9.658
mcardiotest1mixWBC_1.pat.gz,1.018
mcardiotest1mixWBC_2.pat.gz,0.91
mcardiotest1mixWBC_3.pat.gz,0.914
mcardiotest2mixWBC_1.pat.gz,1.6559999
mcardiotest2mixWBC_2.pat.gz,1.398
mcardiotest2mixWBC_3.pat.gz,1.71
mcardiotest50mixWBC_1.pat.gz,35.482002
mcardiotest50mixWBC_2.pat.gz,33.828
mcardiotest50mixWBC_3.pat.gz,32.846
mcardiotest5mixWBC_1.pat.gz,3.698
mcardiotest5mixWBC_2.pat.gz,3.6880002
mcardiotest5mixWBC_3.pat.gz,2.866